id,rating,title,body,author,created_at,is_edited
14099181592,5,Spotify: Music and Podcasts,Music,Idris Joseph Robert,2026-05-24T03:48:55+00:00,0
14099172523,5,Music,Sounds pretty good,kxkzkwjx,2026-05-24T03:45:01+00:00,0
14099136333,5,Do use!!!,Spotify is an amazing platform I love using it so much!!! I am 14 and use it EVERY DAY so yeah download it.🫪,Savii🫪🐺,2026-05-24T03:29:21+00:00,0
14099134108,2,The ads,"The amount of ads is honestly crazy, you don’t even need that many in the first place, it was perfectly fine with just 2 ads, but five ads? That’s genuinely ridiculous considering most of them are 30 seconds and longer, i have to listen to over like 2 or so minutes of nothing but dumb ads to listen to just a one minute song?",Anon..#2,2026-05-24T03:28:26+00:00,0
14099113113,5,fire,fire,kidkdmdndndej,2026-05-24T03:19:34+00:00,0
14099107139,5,Cool cool,Cool,Gay guitarist,2026-05-24T03:17:07+00:00,0
14099104055,5,Review,No!,Dandyone15,2026-05-24T03:15:51+00:00,0
14099099869,2,Good but..,"There are literally so many ads and things I have to pay for, it's almost desperate.",Honestloser_1,2026-05-24T03:14:10+00:00,0
14099095299,5,Me encanta Spotify,Me encanta esta app por qué puedo escuchar a Melanie Martínez,Hola te apodo,2026-05-24T03:12:17+00:00,0
14099094756,5,thank you,boi i fawk wicha,ghjcgfvghh,2026-05-24T03:12:03+00:00,0
14099082363,2,Slay,I wish you didn’t have limeted skips and the ads are long along with having not many of your requests,Rat26🐀,2026-05-24T03:06:56+00:00,0
14099080867,5,Holy for ever,His name is the greatest I will for ever  cry Holy,Janet Alt,2026-05-24T03:06:21+00:00,0
